State ID,State,Section Title,Section Intro,Card Type,Category,Name,Description,Focus,Services,Locations,Single Location,Phone,Email,Website,Cost Estimate
colorado,Colorado,Provider Directory,"Colorado has some of the most established ""alternative-first"" providers in the country. Below are the names and contact details for the primary organizations specializing in Natural Organic Reduction (NOR), Aquamation, and Green Burial.",Provider,,The Natural Funeral,"The primary holistic funeral home in Colorado. They were the first in the state to offer both NOR and Aquamation and emphasize a hands-on, participatory experience for families.",,"Natural Organic Reduction (Body Composting), Alkaline Hydrolysis (Water Cremation), and Green Burial.","Lafayette: 102 W. Chester St, Lafayette, CO 80026 | Loveland: 1440 N. Boise Ave, Loveland, CO 80538",,(720) 515-2344 or (970) 837-7224,info@thenaturalfuneral.com,thenaturalfuneral.com,
colorado,Colorado,Provider Directory,"Colorado has some of the most established ""alternative-first"" providers in the country. Below are the names and contact details for the primary organizations specializing in Natural Organic Reduction (NOR), Aquamation, and Green Burial.",Provider,,Colorado Burial Preserve,"A dedicated conservation cemetery that focuses entirely on ""return-to-earth"" burial without the use of vaults, liners, or toxic embalming fluids.",,Natural Burial and Cremated Remains Interment in a protected natural landscape.,"7997 CO-67, Florence, CO 81226 (By appointment only)",,(719) 280-2614,emily@coloradoburialpreserve.com,coloradoburialpreserve.com,
colorado,Colorado,Provider Directory,"Colorado has some of the most established ""alternative-first"" providers in the country. Below are the names and contact details for the primary organizations specializing in Natural Organic Reduction (NOR), Aquamation, and Green Burial.",Provider,,Crestone End of Life Project (CEOLP),A unique community-based organization that facilitates open-air pyre cremations and natural burial under CEOLP's local registration rules. Current participation is limited and should be confirmed directly before planning.,,Open-air Cremation and End-of-Life education.,"PO Box 1238, Crestone, CO 81131",,(719) 588-7415,ceolp.info@gmail.com,crestoneendoflifeproject.org,
colorado,Colorado,Provider Directory,"Colorado has some of the most established ""alternative-first"" providers in the country. Below are the names and contact details for the primary organizations specializing in Natural Organic Reduction (NOR), Aquamation, and Green Burial.",Provider,,Alternative Funeral & Cremation Service,"While they offer traditional services, they have a dedicated wing for simpler, more direct arrangements that bypass the standard funeral industry up-selling model.",,Simple Cremation and Natural Burial coordination.,"2377 North Academy Blvd, Colorado Springs, CO 80907",,(719) 633-9999,,alternativefuneralandcremation.com,
colorado,Colorado,Provider Directory,"Colorado has some of the most established ""alternative-first"" providers in the country. Below are the names and contact details for the primary organizations specializing in Natural Organic Reduction (NOR), Aquamation, and Green Burial.",Provider,,Seven Stones Botanical Gardens Cemetery,"A hybrid cemetery that has a strong commitment to natural burial and beautifully landscaped botanical environments, moving away from the traditional row of headstones look.",,Green Burial and Botanical Cremation Gardens.,"9635 N. Rampart Range Rd, Littleton, CO 80125",,(303) 717-7117,,discoversevenstones.com,
colorado,Colorado,Provider Directory,"Colorado has some of the most established ""alternative-first"" providers in the country. Below are the names and contact details for the primary organizations specializing in Natural Organic Reduction (NOR), Aquamation, and Green Burial.",Attorney,Attorneys,"Braverman Law Group, LLC",,Leading specialists in Natural Organic Reduction (NOR) estate planning and Green Burial legalities.,,,"507 Canyon Blvd #203, Boulder, CO 80302",(303) 800-1588,,braverman-law.com,
colorado,Colorado,Provider Directory,"Colorado has some of the most established ""alternative-first"" providers in the country. Below are the names and contact details for the primary organizations specializing in Natural Organic Reduction (NOR), Aquamation, and Green Burial.",Attorney,Attorneys,Hammond Law Group,,Experts in Disposition of Last Remains declarations and multi-generational legacy planning.,,,"2955 Professional Pl #302, Colorado Springs, CO 80904",(719) 520-1474,,coloradoestateplan.com,
colorado,Colorado,Provider Directory,"Colorado has some of the most established ""alternative-first"" providers in the country. Below are the names and contact details for the primary organizations specializing in Natural Organic Reduction (NOR), Aquamation, and Green Burial.",Attorney,Attorneys,Meurer & Potter Law Office,,Focuses on using the CO Disposition of Last Remains Act to prevent family disputes over alternative wishes.,,,"5347 S Valentia Way #335, Greenwood Village, CO 80111",(303) 991-3544,,meurerlawoffices.com,
colorado,Colorado,Provider Directory,"Colorado has some of the most established ""alternative-first"" providers in the country. Below are the names and contact details for the primary organizations specializing in Natural Organic Reduction (NOR), Aquamation, and Green Burial.",Attorney,Attorneys,Law Office of Byron K. Hammond,,Specialized focus on customized estate plans and sensitive post-life remembrance arrangements.,,,"3900 E Mexico Ave #300, Denver, CO 80210",(303) 501-1812,,bkh-law.com,
colorado,Colorado,Provider Directory,"Colorado has some of the most established ""alternative-first"" providers in the country. Below are the names and contact details for the primary organizations specializing in Natural Organic Reduction (NOR), Aquamation, and Green Burial.",Attorney,Attorneys,Glatstein & O'Brien LLP,,Experts in End-of-Life Directives and navigating the Medical Power of Attorney for complex cases.,,,"2696 S Colorado Blvd #350, Denver, CO 80222",(303) 731-3986,,denverprobatelaw.com,
oregon,Oregon,Provider Directory,,Provider,,The Peaceful Presence Project,"Sliding-scale services focused on equity, advance care planning, and rural support.",,"Sliding-scale end-of-life support, advance care planning, and rural outreach.",Serving Oregon statewide,,(541) 583-2292,,thepeacefulpresenceproject.org,"Sliding Scale ($35 - $75/hr); Full packages range $600 - $2,900."
vermont,Vermont,Provider Directory,,Provider,,Lindsey Warren Doula Services,"UVM-certified, specialized in green burial, shrouding, and Medical Aid in Dying (MAiD) support.",,"Green burial, shrouding, and Medical Aid in Dying (MAiD) support.",Serving Vermont statewide,,(802) 498-5700,,lindseywarrendoula.com,"$700 - $2,500; Highly personalized for forest burial traditions."
minnesota,Minnesota,Provider Directory,,Provider,,Minnesota Death Collaborative,"A network of practitioners focused on the ""5 Domains of Life"" and sacred passage.",,"End-of-life planning, legacy projects, and sacred passage coordination.",Minneapolis-St. Paul Metro and statewide,,(612) 799-6782 (Befriending Death),,mndeathcollaborative.org,"$800 - $3,000 depending on the complexity of legacy projects."
georgia,Georgia,Provider Directory,,Provider,,Sacred Infinity (Amanda Reams),"End-of-life education, death midwifery, and southern green burial support.",,"End-of-life education, death midwifery, and green burial support.",Serving Georgia statewide,,(678) 993-3331,,sacredinfinity.net,"$800 - $2,800; Hourly rates typically start at $75."
new-york,New York,Provider Directory,,Provider,,Rachel Cao (NYC End-of-Life Doula),Serving the five boroughs with virtual and in-person ritual and legacy support.,,"Virtual and in-person ritual planning, legacy support, and end-of-life doula services.",New York City (all five boroughs),,(646) 926-4457,,rachelendoflifedoula.com,"$2,000 - $5,500 for urban-intensive support packages."
